"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method"
"6","1313","131","1.000000","0.243153","12","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.416701","12","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.067635","13","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.427972","13","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.324417","13","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.181482","13","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.075575","13","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.156534","13","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.096568","13","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.096133","13","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.381045","13","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.193357","13","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.192174","13","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.173936","13","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.085975","13","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.046798","13","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.683435","14","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.115702","14","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.506192","14","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.224345","14","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.249084","14","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.293688","14","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.250028","14","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.562679","14","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.48854","14","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.550914","14","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.236003","14","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.312141","14","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.229569","14","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.434064","14","2","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"1","1885","188","1.000000","0.36702","15","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"2","3322","332","1.000000","0.113607","15","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"3","1525","152","1.000000","0.398335","15","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"4","4182","418","1.000000","0.259778","15","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"5","3419","341","1.000000","0.362362","15","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"6","1313","131","1.000000","0.324445","15","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
"7","4051","405","1.000000","0.427589","15","1","SplitHalf_ToMfROIs_resp_Jokes_20170904","SplitHalf","resp","Top10Percent"
