"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method","pipeline"
"5","462","46","1.000000","0.512812","6","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","0.529676","6","4","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","1.640391","7","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","0.98515","7","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","1.294792","7","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","2.722018","7","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","2.701296","7","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"6","370","37","1.000000","1.598668","7","1","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"1","2948","294","1.000000","1.620827","7","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"2","1627","162","1.000000","0.944174","7","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"3","644","64","1.000000","1.361218","7","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"4","743","74","1.000000","2.529467","7","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
"5","462","46","1.000000","2.415852","7","2","LangfROIs_resp_JokesCustom_20170720","LangfROIs","JokesCustom","Top10Percent","Old_evlab_pipeline"
