"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast","filename","fROIs","task","ind_selection_method","pipeline"
"4","743","50","1.000000","2.299126","9","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","2.477274","9","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","2.588917","9","2","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","0.092174","9","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","-0.200222","9","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.095696","9","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","0.187329","9","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","0.096457","9","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"6","370","50","1.000000","0.324374","9","3","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"1","2948","50","1.000000","1.440627","10","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"2","1627","50","1.000000","0.987915","10","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"3","644","50","1.000000","0.256576","10","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"4","743","50","1.000000","1.983868","10","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
"5","462","50","1.000000","1.239165","10","1","LangfROIs_resp_Jokes_Top50Voxels_20170703","LangfROIs","Jokes","Top50Voxels","Old_evlab_pipeline"
