"ROI","ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"7","4051","405","1.000000","0.057651","13","5"
"1","1885","188","1.000000","-0.76237","14","1"
"2","3322","332","1.000000","0.259237","14","1"
"3","1525","152","1.000000","-0.655013","14","1"
"4","4182","418","1.000000","-0.635652","14","1"
"5","3419","341","1.000000","-0.410196","14","1"
"6","1313","131","1.000000","-0.916763","14","1"
"7","4051","405","1.000000","-0.246691","14","1"
"1","1885","188","1.000000","-1.394063","14","2"
"2","3322","332","1.000000","0.14239","14","2"
"3","1525","152","1.000000","-1.045295","14","2"
"4","4182","418","1.000000","-0.815255","14","2"
"5","3419","341","1.000000","-0.594778","14","2"
"6","1313","131","1.000000","-0.886355","14","2"
"7","4051","405","1.000000","-0.534187","14","2"
"1","1885","188","1.000000","-0.202674","14","3"
"2","3322","332","1.000000","0.574094","14","3"
"3","1525","152","1.000000","0.08833","14","3"
"4","4182","418","1.000000","-0.275451","14","3"
"5","3419","341","1.000000","-0.127785","14","3"
"6","1313","131","1.000000","0.415702","14","3"
"7","4051","405","1.000000","-0.004462","14","3"
"1","1885","188","1.000000","-3.596231","14","4"
"2","3322","332","1.000000","-0.485811","14","4"
"3","1525","152","1.000000","-3.221175","14","4"
"4","4182","418","1.000000","-1.463359","14","4"
"5","3419","341","1.000000","-1.107894","14","4"
"6","1313","131","1.000000","-5.167076","14","4"
"7","4051","405","1.000000","-1.564855","14","4"
"1","1885","188","1.000000","0.559696","14","5"
"2","3322","332","1.000000","0.314857","14","5"
"3","1525","152","1.000000","0.743343","14","5"
"4","4182","418","1.000000","0.3602","14","5"
"5","3419","341","1.000000","0.282411","14","5"
"6","1313","131","1.000000","1.332465","14","5"
"7","4051","405","1.000000","0.242229","14","5"
"1","1885","188","1.000000","1.371153","15","1"
"2","3322","332","1.000000","1.026776","15","1"
"3","1525","152","1.000000","0.3372","15","1"
"4","4182","418","1.000000","-0.296374","15","1"
"5","3419","341","1.000000","0.032652","15","1"
"6","1313","131","1.000000","-0.301204","15","1"
"7","4051","405","1.000000","0.237867","15","1"
"1","1885","188","1.000000","1.675735","15","2"
"2","3322","332","1.000000","1.571817","15","2"
"3","1525","152","1.000000","0.752578","15","2"
"4","4182","418","1.000000","0.217158","15","2"
"5","3419","341","1.000000","0.242318","15","2"
"6","1313","131","1.000000","0.224001","15","2"
"7","4051","405","1.000000","0.212135","15","2"
"1","1885","188","1.000000","2.271285","15","3"
"2","3322","332","1.000000","1.460329","15","3"
"3","1525","152","1.000000","1.381518","15","3"
"4","4182","418","1.000000","-0.081403","15","3"
"5","3419","341","1.000000","0.131395","15","3"
"6","1313","131","1.000000","0.698378","15","3"
"7","4051","405","1.000000","0.323032","15","3"
"1","1885","188","1.000000","1.678763","15","4"
"2","3322","332","1.000000","1.035585","15","4"
"3","1525","152","1.000000","0.466615","15","4"
"4","4182","418","1.000000","1.004683","15","4"
"5","3419","341","1.000000","-0.171959","15","4"
"6","1313","131","1.000000","1.200923","15","4"
"7","4051","405","1.000000","0.423344","15","4"
"1","1885","188","1.000000","0.900132","15","5"
"2","3322","332","1.000000","0.433553","15","5"
"3","1525","152","1.000000","1.044318","15","5"
"4","4182","418","1.000000","0.214971","15","5"
"5","3419","341","1.000000","0.098744","15","5"
"6","1313","131","1.000000","0.999582","15","5"
"7","4051","405","1.000000","0.085165","15","5"
"1","1885","188","1.000000","-1.043789","16","1"
"2","3322","332","1.000000","-0.083086","16","1"
"3","1525","152","1.000000","-0.910228","16","1"
"4","4182","418","1.000000","-0.172962","16","1"
"5","3419","341","1.000000","-0.427794","16","1"
"6","1313","131","1.000000","-0.670438","16","1"
"7","4051","405","1.000000","-0.030993","16","1"
"1","1885","188","1.000000","-0.298047","16","2"
"2","3322","332","1.000000","0.334815","16","2"
"3","1525","152","1.000000","-0.401598","16","2"
"4","4182","418","1.000000","0.038917","16","2"
"5","3419","341","1.000000","-0.321182","16","2"
"6","1313","131","1.000000","-0.49951","16","2"
"7","4051","405","1.000000","0.147304","16","2"
"1","1885","188","1.000000","-2.020482","16","3"
"2","3322","332","1.000000","0.072119","16","3"
"3","1525","152","1.000000","-1.695625","16","3"
"4","4182","418","1.000000","-0.598654","16","3"
"5","3419","341","1.000000","-0.833376","16","3"
"6","1313","131","1.000000","-1.443085","16","3"
"7","4051","405","1.000000","-0.285025","16","3"
"1","1885","188","1.000000","-0.745446","16","4"
"2","3322","332","1.000000","0.136795","16","4"
"3","1525","152","1.000000","0.019918","16","4"
"4","4182","418","1.000000","-0.913808","16","4"
"5","3419","341","1.000000","-0.894275","16","4"
"6","1313","131","1.000000","-0.720063","16","4"
"7","4051","405","1.000000","0.424892","16","4"
"1","1885","188","1.000000","-0.976693","16","5"
"2","3322","332","1.000000","0.155206","16","5"
"3","1525","152","1.000000","-0.785397","16","5"
"4","4182","418","1.000000","-0.425692","16","5"
"5","3419","341","1.000000","-0.405582","16","5"
"6","1313","131","1.000000","-0.772648","16","5"
"7","4051","405","1.000000","-0.254032","16","5"
